train\dataset\찜\족발\Img_131_0248.jpg	122
train\dataset\김치\무생채\Img_032_0555.jpg	65
train\dataset\음청류\식혜\Img_092_0032.jpg	94
train\dataset\구이\갈비구이\Img_000_0432.jpg	2
train\dataset\밥\김치볶음밥\Img_070_0231.jpg	28
train\dataset\전골\곱창전골\Img_105_0248.jpg	25
train\dataset\찜\순대\Img_130_0153.jpg	90
train\dataset\전\계란후라이\Img_099_0099.jpg	17
train\dataset\조림\두부조림\Img_110_0938.jpg	50
train\dataset\찜\갈비찜\Img_124_0302.jpg	3
train\dataset\조림\감자조림\Img_107_0859.jpg	8
train\dataset\나물\미역줄기볶음\Img_042_0647.jpg	69
train\dataset\죽\호박죽\Img_118_0307.jpg	144
train\dataset\면\열무국수\Img_055_0069.jpg	103
train\dataset\해물\멍게\Img_146_1037.jpg	61
train\dataset\김치\무생채\Img_032_0510.jpg	65
train\dataset\탕\매운탕\Img_137_0939.jpg	60
train\dataset\밥\비빔밥\Img_072_0209.jpg	77
train\dataset\찜\해물찜\Img_133_0492.jpg	142
train\dataset\기타\후라이드치킨\Img_028_0018.jpg	148
train\dataset\볶음\두부김치\Img_081_0590.jpg	49
train\dataset\밥\알밥\Img_074_0751.jpg	95
train\dataset\무침\콩나물무침\Img_066_0340.jpg	135
train\dataset\적\떡꼬치\Img_096_0394.jpg	54
train\dataset\구이\갈치구이\Img_001_0723.jpg	5
train\dataset\나물\고사리나물\Img_041_0794.jpg	20
train\dataset\찜\계란찜\Img_125_0194.jpg	16
train\dataset\회\육회\Img_149_0874.jpg	111
train\dataset\밥\잡곡밥\Img_076_0354.jpg	113
train\dataset\찜\족발\Img_131_0037.jpg	122
train\dataset\구이\불고기\Img_007_0738.jpg	75
train\dataset\김치\무생채\Img_032_0718.jpg	65
train\dataset\구이\황태구이\Img_012_0390.jpg	146
train\dataset\찌개\순두부찌개\Img_123_0897.jpg	91
train\dataset\전\계란말이\Img_098_0273.jpg	15
train\dataset\기타\피자\Img_027_0528.jpg	140
train\dataset\장\양념게장\Img_094_0803.jpg	99
train\dataset\찌개\닭계장\Img_120_0220.jpg	41
train\dataset\구이\장어구이\Img_009_0722.jpg	115
train\dataset\구이\조개구이\Img_010_0036.jpg	120
train\dataset\나물\고사리나물\Img_041_0703.jpg	20
train\dataset\무침\홍어무침\Img_067_0747.jpg	145
train\dataset\면\라면\Img_050_0785.jpg	56
train\dataset\전\감자전\Img_097_0970.jpg	7
train\dataset\장\간장게장\Img_093_0669.jpg	1
train\dataset\면\잔치국수\Img_056_0738.jpg	112
train\dataset\탕\삼계탕\Img_138_0714.jpg	80
train\dataset\무침\도토리묵\Img_064_0821.jpg	45
train\dataset\나물\숙주나물\Img_043_0981.jpg	89
train\dataset\조림\갈치조림\Img_106_0394.jpg	6
train\dataset\기타\과메기\Img_022_0800.jpg	26
train\dataset\기타\편육\Img_026_0209.jpg	139
train\dataset\구이\훈제오리\Img_013_0319.jpg	149
train\dataset\국\미역국\Img_017_0048.jpg	68
train\dataset\김치\백김치\Img_034_0770.jpg	71
train\dataset\나물\미역줄기볶음\Img_042_0578.jpg	69
train\dataset\나물\미역줄기볶음\Img_042_0917.jpg	69
train\dataset\찌개\동태찌개\Img_121_0961.jpg	47
train\dataset\구이\갈치구이\Img_001_0283.jpg	5
train\dataset\음청류\수정과\Img_091_0783.jpg	87
train\dataset\찜\갈비찜\Img_124_0020.jpg	3
train\dataset\전골\곱창전골\Img_105_0073.jpg	25
train\dataset\밥\새우볶음밥\Img_073_0533.jpg	81
train\dataset\무침\콩나물무침\Img_066_0237.jpg	135
train\dataset\구이\장어구이\Img_009_0039.jpg	115
train\dataset\김치\부추김치\Img_035_0257.jpg	73
train\dataset\밥\누룽지\Img_071_0229.jpg	39
train\dataset\볶음\소세지볶음\Img_085_0001.jpg	84
train\dataset\면\쫄면\Img_059_0445.jpg	127
train\dataset\밥\알밥\Img_074_0814.jpg	95
train\dataset\면\잔치국수\Img_056_0661.jpg	112
train\dataset\구이\더덕구이\Img_005_0624.jpg	43
train\dataset\전\파전\Img_103_0524.jpg	138
train\dataset\조림\코다리조림\Img_116_0407.jpg	132
train\dataset\조림\꽁치조림\Img_109_0914.jpg	35
train\dataset\전\호박전\Img_104_0604.jpg	143
train\dataset\탕\곰탕_설렁탕\Img_136_0128.jpg	23
train\dataset\면\쫄면\Img_059_0559.jpg	127
train\dataset\떡\경단\Img_046_0258.jpg	13
train\dataset\볶음\어묵볶음\Img_086_0164.jpg	101
train\dataset\한과\약식\Img_144_0670.jpg	98
train\dataset\탕\추어탕\Img_139_0426.jpg	130
train\dataset\국\콩나물국\Img_021_0916.jpg	134
train\dataset\무침\잡채\Img_065_0517.jpg	114
train\dataset\김치\오이소박이\Img_037_0736.jpg	105
train\dataset\조림\연근조림\Img_113_0470.jpg	102
train\dataset\밥\잡곡밥\Img_076_0122.jpg	113
train\dataset\찜\찜닭\Img_132_0501.jpg	128
train\dataset\구이\떡갈비\Img_006_0435.jpg	52
